Problem_Id	Problem_link	Category_1	Category_2	Category_3	Category_4	Dificulty 	Solved
1750G	https://codeforces.com/problemset/problem/1750/G	combinatorics	dp	math		3300	x104
1750F	https://codeforces.com/problemset/problem/1750/F	combinatorics	dp	math	strings	2700	
1750E	https://codeforces.com/problemset/problem/1750/E	binary search	data structures	divide and conquer	dp	2400	x1091
1750D	https://codeforces.com/problemset/problem/1750/D	combinatorics	math	number theory		1800	
1750C	https://codeforces.com/problemset/problem/1750/C	constructive algorithms	implementation			1400	x7558
1750B	https://codeforces.com/problemset/problem/1750/B	brute force	greedy	implementation		800	
1750A	https://codeforces.com/problemset/problem/1750/A	constructive algorithms	implementation	math		800	x15159
1749F	https://codeforces.com/problemset/problem/1749/F	data structures	dfs and similar	trees		2800	
1749E	https://codeforces.com/problemset/problem/1749/E	constructive algorithms	dfs and similar	graphs	shortest paths	2400	x1225
1749D	https://codeforces.com/problemset/problem/1749/D	combinatorics	dp	math	number theory	1900	
1749C	https://codeforces.com/problemset/problem/1749/C	binary search	data structures	games	greedy	1400	x10424
1749B	https://codeforces.com/problemset/problem/1749/B	greedy				900	
1749A	https://codeforces.com/problemset/problem/1749/A	greedy	implementation			800	x19965
1748F	https://codeforces.com/problemset/problem/1748/F	bitmasks	constructive algorithms			3000	
1748E	https://codeforces.com/problemset/problem/1748/E	binary search	data structures	divide and conquer	dp	2300	x1255
1748D	https://codeforces.com/problemset/problem/1748/D	bitmasks	chinese remainder theorem	combinatorics	constructive algorithms	2100	
1748C	https://codeforces.com/problemset/problem/1748/C	brute force	data structures	dp	greedy	1600	x7716
1748B	https://codeforces.com/problemset/problem/1748/B	brute force	implementation	strings		1400	
1748A	https://codeforces.com/problemset/problem/1748/A	math				800	x20673
1747E	https://codeforces.com/problemset/problem/1747/E	combinatorics	dp	math		2900	
1747D	https://codeforces.com/problemset/problem/1747/D	binary search	bitmasks	constructive algorithms	data structures	1900	x3647
1747C	https://codeforces.com/problemset/problem/1747/C	games				1200	
1747B	https://codeforces.com/problemset/problem/1747/B	constructive algorithms				900	x18024
1747A	https://codeforces.com/problemset/problem/1747/A	constructive algorithms	greedy			800	
1746G	https://codeforces.com/problemset/problem/1746/G	binary search	data structures	dp	flows	3500	x69
1746F	https://codeforces.com/problemset/problem/1746/F	data structures	hashing	probabilities		2800	
1.75E+05	https://codeforces.com/problemset/problem/1746/E2	dp	interactive			3200	x253
1.75E+04	https://codeforces.com/problemset/problem/1746/E1	binary search	constructive algorithms	interactive	ternary search	2500	
1746D	https://codeforces.com/problemset/problem/1746/D	dfs and similar	dp	greedy	sortings	1900	x3689
1746C	https://codeforces.com/problemset/problem/1746/C	constructive algorithms	greedy	implementation	math	1300	
1746B	https://codeforces.com/problemset/problem/1746/B	constructive algorithms	greedy	two pointers		800	x14881
1746A	https://codeforces.com/problemset/problem/1746/A	constructive algorithms	greedy			800	
1744F	https://codeforces.com/problemset/problem/1744/F	math	two pointers			2000	x1990
1.74E+05	https://codeforces.com/problemset/problem/1744/E2	brute force	math	number theory		1900	
1.74E+04	https://codeforces.com/problemset/problem/1744/E1	brute force	math	number theory		1500	x7396
1744D	https://codeforces.com/problemset/problem/1744/D	greedy	math	sortings		1200	
1744C	https://codeforces.com/problemset/problem/1744/C	binary search	implementation	two pointers		1000	x17536
1744B	https://codeforces.com/problemset/problem/1744/B	implementation	math			800	
1744A	https://codeforces.com/problemset/problem/1744/A	greedy	implementation			800	x22536
1743G	https://codeforces.com/problemset/problem/1743/G	bitmasks	combinatorics	constructive algorithms	data structures	3000	
1743F	https://codeforces.com/problemset/problem/1743/F	data structures	dp	matrices	probabilities	2300	x1158
1743E	https://codeforces.com/problemset/problem/1743/E	binary search	dp			2400	
1743D	https://codeforces.com/problemset/problem/1743/D	brute force	dp	greedy	probabilities	1700	x5957
1743C	https://codeforces.com/problemset/problem/1743/C	constructive algorithms	dp	greedy		1100	
1743B	https://codeforces.com/problemset/problem/1743/B	constructive algorithms	greedy			800	x19812
1743A	https://codeforces.com/problemset/problem/1743/A	brute force	combinatorics	implementation	math	800	
1742G	https://codeforces.com/problemset/problem/1742/G	bitmasks	brute force	greedy	math	1500	x6769
1742F	https://codeforces.com/problemset/problem/1742/F	constructive algorithms	greedy	strings		1500	
1742E	https://codeforces.com/problemset/problem/1742/E	binary search	greedy	math		1200	x14701
1742D	https://codeforces.com/problemset/problem/1742/D	brute force	greedy	number theory		1100	
1742C	https://codeforces.com/problemset/problem/1742/C	implementation				900	x23223
1742B	https://codeforces.com/problemset/problem/1742/B	greedy	implementation	sortings		800	
1742A	https://codeforces.com/problemset/problem/1742/A	implementation				800	x38839
1741G	https://codeforces.com/problemset/problem/1741/G	bitmasks	brute force	dfs and similar	dp	2200	
1741F	https://codeforces.com/problemset/problem/1741/F	binary search	data structures	math	sortings	2000	x1689
1741E	https://codeforces.com/problemset/problem/1741/E	dp				1600	
1741D	https://codeforces.com/problemset/problem/1741/D	dfs and similar	divide and conquer	graphs	sortings	1300	x10848
1741C	https://codeforces.com/problemset/problem/1741/C	brute force	greedy	math	two pointers	1100	
1741B	https://codeforces.com/problemset/problem/1741/B	constructive algorithms	math			800	x21646
1741A	https://codeforces.com/problemset/problem/1741/A	implementation	implementation	strings		800	
1740I	https://codeforces.com/problemset/problem/1740/I	data structures	divide and conquer	divide and conquer	dp	3500	x54
1740H	https://codeforces.com/problemset/problem/1740/H	data structures	trees			3300	
1740G	https://codeforces.com/problemset/problem/1740/G	constructive algorithms	dsu	sortings		3100	x137
1740F	https://codeforces.com/problemset/problem/1740/F	combinatorics	dp	math		2600	
1740E	https://codeforces.com/problemset/problem/1740/E	constructive algorithms	data structures	dfs and similar	dp	1800	x3143
1740D	https://codeforces.com/problemset/problem/1740/D	constructive algorithms	data structures			1500	
1740C	https://codeforces.com/problemset/problem/1740/C	constructive algorithms	games	greedy	sortings	1400	x8395
1740B	https://codeforces.com/problemset/problem/1740/B	geometry	greedy	sortings		800	
1740A	https://codeforces.com/problemset/problem/1740/A	constructive algorithms	number theory			800	x16561
1739F	https://codeforces.com/problemset/problem/1739/F	bitmasks	data structures	dp	string suffix structures	2600	
1739E	https://codeforces.com/problemset/problem/1739/E	bitmasks	dp			2400	x937
1739D	https://codeforces.com/problemset/problem/1739/D	binary search	data structures	dfs and similar	graphs	1900	
1739C	https://codeforces.com/problemset/problem/1739/C	combinatorics	constructive algorithms	dp	games	1500	x7138
1739B	https://codeforces.com/problemset/problem/1739/B	constructive algorithms	greedy	math		1100	
1739A	https://codeforces.com/problemset/problem/1739/A	implementation				800	x20250
1738H	https://codeforces.com/problemset/problem/1738/H	data structures	strings			3300	
1738G	https://codeforces.com/problemset/problem/1738/G	constructive algorithms	dp	greedy	math	2900	x285
1738F	https://codeforces.com/problemset/problem/1738/F	constructive algorithms	dsu	graphs	greedy	2400	
1738E	https://codeforces.com/problemset/problem/1738/E	combinatorics	dp	math	two pointers	2300	x1206
1738D	https://codeforces.com/problemset/problem/1738/D	constructive algorithms	data structures	dfs and similar	dsu	1900	
1738C	https://codeforces.com/problemset/problem/1738/C	dp	games	greedy	math	1500	x8196
1738B	https://codeforces.com/problemset/problem/1738/B	constructive algorithms	greedy	math	sortings	1200	
1738A	https://codeforces.com/problemset/problem/1738/A	greedy	implementation	sortings		800	x12556
1737G	https://codeforces.com/problemset/problem/1737/G	binary search	data structures			3500	
1737F	https://codeforces.com/problemset/problem/1737/F	constructive algorithms	math	number theory		3300	x94
1737E	https://codeforces.com/problemset/problem/1737/E	combinatorics	dp	math	probabilities	2500	
1737D	https://codeforces.com/problemset/problem/1737/D	brute force	dp	graphs	greedy	2200	x1598
1737C	https://codeforces.com/problemset/problem/1737/C	constructive algorithms	games	implementation	math	1500	
1737B	https://codeforces.com/problemset/problem/1737/B	binary search	implementation	math		1300	x7711
1737A	https://codeforces.com/problemset/problem/1737/A	greedy	implementation	strings		900	
1736E	https://codeforces.com/problemset/problem/1736/E	dp	greedy			2600	x443
1736D	https://codeforces.com/problemset/problem/1736/D	constructive algorithms	geometry	greedy	implementation	2200	
1736C2	https://codeforces.com/problemset/problem/1736/C2	binary search	data structures	dp	two pointers	2400	x994
1736C1	https://codeforces.com/problemset/problem/1736/C1	binary search	data structures	schedules	two pointers	1300	
1736B	https://codeforces.com/problemset/problem/1736/B	math	number theory			1200	x12903
1736A	https://codeforces.com/problemset/problem/1736/A	brute force	greedy	sortings		800	
1735F	https://codeforces.com/problemset/problem/1735/F	data structures	geometry			2900	x159
1735E	https://codeforces.com/problemset/problem/1735/E	constructive algorithms	data structures	graph matchings	greedy	2400	
1735D	https://codeforces.com/problemset/problem/1735/D	brute force	combinatorics	data structures	hashing	1700	x4392
1735C	https://codeforces.com/problemset/problem/1735/C	dfs and similar	dsu	graphs	greedy	1400	
1735B	https://codeforces.com/problemset/problem/1735/B	greedy	math			900	x15506
1735A	https://codeforces.com/problemset/problem/1735/A	constructive algorithms	greedy	math		800	
1734F	https://codeforces.com/problemset/problem/1734/F	bitmasks	divide and conquer	dp	math	2500	x588
1734E	https://codeforces.com/problemset/problem/1734/E	constructive algorithms	number theory			2100	
1734D	https://codeforces.com/problemset/problem/1734/D	data structures	dp	greedy	two pointers	1800	x4814
1734C	https://codeforces.com/problemset/problem/1734/C	greedy	math			1200	
